 logU   Z        xi    lnh   al     NV_1240               CIV_1550              HeII_1640             CIII_1908             MgII_2796              MgII_2803             OII_3727               NeV_3426              NIII__3869            Hbeta                 OIII_4959             OIII_5007             OI_6300                 OI_6363                 NII_6548              Halpha                NII_6584              SII_6717                SII_6731               SIII_6312             SIII_9069             SIII_9532             PB                     PG                    P7                    P8                    P9                   
  -1.5   1.0E-4   0.3   2.0   -1.2   -4.335912997379388    -2.6453730231470516   -2.239849035486479    -3.246432260406621    -0.7132517033862911    -0.8380333836359242   -1.603451962012869     -4.091005921859747    -3.7492385520203086   0.5793490848427894    -3.2479361791966497   -2.769372288289368    -0.17099873013629718    -0.6672788357108743     -3.4934002719580377   1.2934509517160038    -3.0234253649670038   -0.20114916953858852    -0.3564683680582874    -5.44275754577086     -4.602929450040591    -4.208484788058378    -0.3466523933991894    -0.5814501379502559   -0.875691447384348    -1.1206288294980098   -1.3224934210479518  
  -1.5   1.0E-4   0.3   2.0   -1.4   -4.3814185196715485   -2.636162471163857    -2.38518712118082     -3.2429153778216033   -0.73544188719967      -0.8600894441243199   -1.6157541421800232    -4.204161676927548    -3.79328203662417     0.5634454860270495    -3.271500124784204    -2.7929314184858995   -0.19453312552500535    -0.6908171306896094     -3.5065837771328674   1.2771735554857884    -3.0366136084654443   -0.2251911696892961     -0.38046842017723037   -5.483107818348756    -4.737881284568125    -4.3434418620353625   -0.3623902056619812    -0.5971542183442722   -0.8912997031055383   -1.1362133469359392   -1.3380737882610987  
  -1.5   1.0E-4   0.3   2.0   -1.7   -4.486023713760034    -2.702633486240238    -2.6612447826771586   -3.314338859604753    -0.8014528749354923    -0.9257688619796767   -1.6523968066740125    -4.42722130495185     -3.898012481441704    0.5157414166693641    -3.3674212438284954   -2.8888719636548785   -0.2650162540539682     -0.7613016899370137     -3.5452923072764833   1.2282976764748597    -3.0753227930156157   -0.2972163120637248     -0.4523606482604663    -5.565335306277092    -4.916569051839488    -4.522126619832278    -0.4095929000449132    -0.644318653894274    -0.9380577079719146   -1.18298362937864     -1.3847971987845895  
  -1.5   1.0E-4   0.3   2.0   -2.0   -4.605005790081492    -2.8211956543446206   -2.9735075929471577   -3.435156467456167    -0.8870265406668452    -1.0112047869887277   -1.7000135638655323    -4.687695675431293    -4.0309057337555885   0.4534559467773036    -3.5015791632027202   -3.0230176132569255   -0.3569719551908719     -0.8532210106921667     -3.595542606953252    1.1644718242776904    -3.1255645713714912   -0.39123869817441204    -0.5462078646555284    -5.666351243485302    -5.061275184158411    -4.666814791947239    -0.47119895566352454   -0.7058645808737509   -0.9990889378687768   -1.244033723533171    -1.4457774344575753  
  -1.5   1.0E-4   0.3   3.0   -1.2   -4.325892412161124    -2.6363504204816763   -2.2364821617002875   -3.259045494177194    -3.4410155841298646    -3.515942293916048    -4.336327337643773     -4.079188194814925    -3.7769455868208937   -2.375645699682984    -3.249669061880006    -2.771112231980581    -3.8734789744565887     -4.369816293543195      -5.821281980894234    -1.884056823060945    -5.351298543348271    -3.9741209167066316     -4.115436850321878     -5.497941777242893    -4.667622143542673    -4.273166878405675    -3.2578800039253792    -3.4994890894736628   -3.722138761774886    -3.9064732563003233   -4.06361696765822    
  -1.5   1.0E-4   0.3   3.0   -1.4   -4.375078796079137    -2.62930190742442     -2.3816799003756017   -3.2568588364268365   -3.3980268762554644    -3.4574857837183472   -4.45907018715905      -4.185645842009684    -3.810313217407028    -2.4673602593134305   -3.2728981393708096   -2.7943355926283147   -4.12585461538157       -4.62218397082794       -6.005740053005233    -1.983426253730876    -5.5357638897869705   -4.210856622535722      -4.350655403852585     -5.521808804609968    -4.789494209319031    -4.395039940060649    -3.3467006360130043    -3.588616021672017    -3.8066527436135402   -3.987036300174225    -4.140249436883423   
  -1.5   1.0E-4   0.3   3.0   -1.7   -4.510491508422085    -2.7034883753387007   -2.658150175915246    -3.3309621991148433   -3.352920359414526     -3.4033809153362      -4.637724920216883     -4.395298859671996    -3.9102008269638375   -2.628396530270244    -3.3712841947949954   -2.8927221771402287   -4.58789240772095       -5.0842203891769415     -6.306475300046543    -2.151804722846876    -5.836510641807301    -4.652416313691418      -4.785845213946459     -5.5877747241288915   -4.9459617893151275   -4.5515101084889125   -3.501565379795643     -3.7438116174102234   -3.955538639189335    -4.130404564265568    -4.2782882866321685  
  -1.5   1.0E-4   0.3   3.0   -2.0   -4.745451922891029    -2.839111483855028    -2.9706568124808967   -3.4536424446365857   -3.3240109758273704    -3.3743480675883575   -4.796531948137357     -4.659199077404438    -4.047444861795498    -2.7943085464204955   -3.511731384504543    -3.033163951394613    -5.049275005844386      -5.545597278660743      -6.6036088382698      -2.3206357076555335   -6.133635853718083    -5.086392751444187      -5.208197108430468     -5.674299657084013    -5.0670698571692085   -4.672620628707151    -3.6611452537476765    -3.9034723343935624   -4.110491006380791    -4.281041836072696    -4.424708214045182   
  -1.5   1.0E-4   0.3   4.0   -1.2   -4.587304308396497    -2.6929534647819793   -2.2359210528074698   -3.183891329260099    -3.472834281862376     -3.5409243008103672   -4.475357263470421     -4.051572362358357    -3.841516887300749    -2.36786677795952     -3.3095823976601793   -2.8310313534452334   -3.9282652361202395     -4.424581208785639      -5.529207427433107    -1.8797881317429272   -5.059239541984496    -4.106426861431409      -4.157135001320306     -5.453383315361805    -4.611845492231119    -4.217391232238668    -3.2416938182746904    -3.4843248119974675   -3.7076553061594097   -3.892993653618454    -4.050653912995301   
  -1.5   1.0E-4   0.3   4.0   -1.4   -4.7999433340277875   -2.7505570385574174   -2.3792291103582315   -3.192383802978121    -3.4172096321360925    -3.4732989612548764   -4.598168825091051     -4.221089398511616    -3.882231705073629    -2.457224351765376    -3.3400742968725936   -2.861507832850023    -4.18893465078628       -4.685248226284955      -5.7142852034170915   -1.9751450516949802   -5.244315666147585    -4.3582483470230144     -4.406736091426545     -5.440416524111711    -4.7039274336401675   -4.309476107072413    -3.327403451852284     -3.5702961570274283   -3.789173361321744    -3.9706974064410048   -4.124348497384673   
